text,category,region,organization
กรณีคุณสมบัติและหลักเกณฑ์ในการขอพระราชทานเครื่องอิสริยาภรณ์ของข้าราชการครู และบุคคลากรทางการศึกษา มาเพื่อพิจารณากำเนินการ,อื่น ๆ,ทุกภูมิภาค,สลค.
ขอให้หน่วยงานที่เกี่ยวข้องเร่งแก้ไขปัญหาความเดือดร้อนของชาวไร่ยาสูบในพื้นที่ จ.น่าน ดังนี้ ๑) เร่งรัดจ่ายเงินชดเชยโควตายาสูบ ฤดูกาลปลูกปี ๖๒ และปี ๖๓ ๒) ขอให้ กค. พิจารณายกเลิกหรือชะลอการขึ้นภาษีบุหรี่ออกไปอีกอย่างน้อย ๒-๓ ปี ๓) ขอให้ กค. พิจารณาประกาศแผนอัตราภาษีสรรพสามิตยาสูบแบบระยะยาว ที่ไม่ใช่การขึ้นภาษีแบบก้าวกระโดด ทั้งนี้ สผ. ได้ส่งเรื่องให้ กค. พิจารณาโดยตรงแล้ว,การเกษตร,น่าน,กค.
กรณีที่มีข่าวว่ากองทัพบกจะนำกองร้อยทหารราบ (ร้อย.ร.ไทย) RTA Combat Team จำนวน ๑๕๑ นาย สังกัดกองทัพภาคที่ ๒ ที่จะเดินทางกลับจากรัฐฮาวาย ประเทศสหรัฐอเมริกา ซึ่งคาดว่าจะใช้อาคารรับรองสวนสนประดิพัทธ์ อ.หัวหิน จ.ประจวบคีรีขันธ์ เป็นสถานที่กักตัว นั้น ขอให้หน่วยงานที่เกี่ยวข้องพิจารณาให้รอบคอบ เนื่องจากส่งผลกระทบต่อความเชื่อมั่นของประชาชนและผู้ประกอบการท่องเที่ยวที่เพิ่งฟื้นตัวทั้งนี้ สภาผู้แทนราษฎร ได้ส่งเรื่องให้ สธ. และ กห. พิจารณาโดยตรงแล้ว,สาธารณสุข,ประจวบคีรีขันธ์,สธ.
ขอให้หน่วยงานที่เกี่ยวข้องแก้ไขปัญหาความเดือดร้อนในพื้นที่ จ.ลำพูน ดังนี้(๑) ราคากระเทียมแห้งตกต่ำ เหลือกิโลกรัมละ ๒๕ – ๒๘ บาท ในขณะที่ต้นทุนการผลิตราคากิโลกรัมละ ๔๐ บาท(๒) การดำเนินนโยบายประกันรายได้ให้แก่เกษตรกรผู้ปลูกลำไยชนิดเกรด AA ในราคากิโลกรัมละ ๔๐ บาท,ราคาสินค้าเกษตร,ลำพูน,กษ.
ขอให้พิจารณาดำเนินการโดยเร่งด่วนในเรื่องการจัดการศพผู้เสียชีวิตจากโรคโควิด - 19 ของภาครัฐ สำหรับประชาชนชาวมุสลิม เกี่ยวกับขั้นตอนการจัดการศพตามวิถีอิสลาม โดยให้หาข้อยุติที่เป็นที่ยอมรับของทุกฝ่ายบนพื้นฐานของหลักการอิสลาม และภาครัฐควรกำหนดแนวทางในการจัดการศพให้ชัดเจน,ศิลปะ วัฒนธรรม ศาสนา,ทุกภูมิภาค,สธ.
ขอให้รัฐบาล และ ศบค. เพิ่มมาตรการป้องกันการแพร่ระบาดโรคติดเชื้อไวรัสโคโรนา 2019 และให้มีมาตรการตรวจวัดอุณหภูมิที่สนามบินให้รัดกุมยิ่งขึ้น เพื่อรองรับเทศกาลปีใหม่ และเทศกาลสงกรานต์ที่กำลังมาถึง,สาธารณสุข,ทุกภูมิภาค,ศบค.
ขอให้แก้ไขปัญหากลโกงทางโทรศัพท์ SMS สื่อออนไลน์ เฟสบุ๊ก อีเมล เว็บไซต์ หรือแอปพลิเคชันของมิจฉาชีพหลายรูปแบบ โดยเฉพาะเงินกู้นอกระบบที่ไม่ได้รับรองจากธนาคารแห่งประเทศไทย และหลอกให้ประชาชนโอนเงินค่าธรรมเนียม ค่าทำสัญญา ค่าเอกสาร เงินต้น ดอกเบี้ย งวดแรก ๑๐-๓๐ % แต่เมื่อโอนเงินไปแล้วก็ไม่ได้รับเงินต้น และไม่สามารถติดต่อได้ ซึ่งแอปพลิเคชันเหล่านี้ขอดึงหรือโหลดรายชื่อผู้ติดต่อทางโทรศัพท์มือถือ โดยไม่เกรงกลัวพระราชบัญญัติการทวงถามหนี้ พ.ศ. ๒๕๕๘,อาชญากรรม ยาเสพติดและการพนัน,ทุกภูมิภาค,ดศ.
ขอให้หน่วยงานที่เกี่ยวข้องพิจารณาแก้ไขปัญหาการก่อสร้างประตูระบายน้ำคลองระหาญ ซอยบางกระดี่ ๓๔ บริเวณหมู่บ้านสิรินดา แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร ที่มีการก่อสร้างมาอย่างยาวนานแต่ตัวประตูซึ่งเป็นหัวใจหลักของประตูระบายน้ำยังไม่แล้วเสร็จ ทำให้ทุกครั้งที่ฝนตกจะทำให้น้ำท่วมในหมู่บ้านตลอด,สาธารณภัย,กรุงเทพมหานคร,มท.
ขอให้หน่วยงานที่เกี่ยวข้องเร่งดำเนินการปราบปรามบ่อนการพนันและตู้สล๊อตแมชชีนในพื้นที่ จ.ระยอง และให้ตั้งคณะกรรมการตรวจสอบข้าราชการหรือเจ้าหน้าที่ที่ละเว้นการปฏิบัติหน้าที่ในการจับกุม,อาชญากรรม ยาเสพติดและการพนัน,ระยอง,ตร.
"ขอให้รัฐบาลจ่ายเงินชดเชย จำนวน ๓,๐๐๐,๐๐๐ บาท (สามล้านบาทถ้วน) จากปัญหา COVID – 19 ให้แก่สหกรณ์ผู้ปลูกหอมหัวใหญ่ฝาง จำกัด",การเกษตร,เชียงใหม่,สปน.
"ขอให้เพิ่มเงินชดเชยให้กับเกษตรกรที่ประสบภัยพิบัติต่าง ๆ เช่น ภัยแล้ง หรือน้ำท่วม เป็นต้น เนื่องจากในช่วงฤดูฝนได้มีพายุเข้ามาในประเทศไทยหลายลูก ทำให้น้ำท่วมขังในไร่นาของเกษตรกร ในหลายอำเภอของจังหวัดนครราชสีมา โดยรัฐบาลจะมีนโยบายให้เงินช่วยเหลือกับเกษตรกร ซึ่งให้เงินชดเชยผู้ปลูกข้าว ไร่ละ ๑,๐๐๐ - ๑,๑๐๐ บาท พืชไร่และพืชผักไร่ละ ๑,๕๐๐ บาท ไม้ผล ไม้ยืนต้น และอื่น ๆ ไร่ละ ๓,๒๐๐ บาท จึงเสนอขอให้รัฐบาลพิจารณาให้เงินช่วยเหลือกับเกษตรกรเพิ่มมากขึ้นเป็นข้าวไร่ละ ๑,๔๐๐ บาท พืชไร่และพืชผัก ไร่ละ ๒,๐๐๐ บาท ไม้ผล ไม้ยืนต้น และอื่น ๆ ไร่ละ ๔,๐๐๐บาท เพื่อเป็นกำลังใจและช่วยเหลือบรรเทาความเดือดร้อนให้กับเกษตรกรและประชาชน",สาธารณภัย,ทุกภูมิภาค,กษ.
ขอคัดค้านการก่อสร้างโรงงานฆ่าและชําแหละเนื้อไก่ โรงงานผลิตอาหารแปรรูป โรงงานผลิตอาหารปรุงสุก และโรงงานอื่น ๆ ที่เกี่ยวข้องของบริษัท สยามเซ็นทาโกฟาร์ม จํากัด จ.สระบุรี เนื่องจากเกรงว่าจะได้รับผลกระทบจากเรื่องกลิ่นและอากาศที่ไม่บริสุทธิ์ เชื้อโรคที่มากับการเคลื่อนย้ายไก่และวัตถุดิบ รวมถึงฝุ่นละอองที่มีค่า PM 2.5 ซึ่งส่งผล โดยตรงต่อสุขภาพและสิ่งแวดล้อมเป็นพิษของราษฎรในพื้นที่ใกล้เคียง,อุตสาหกรรม,สระบุรี,สปน.
ขอให้สำนักการจราจรและขนส่งดำเนินการสำรวจความเปลี่ยนแปลงต่าง ๆ ทางภูมิทัศน์ในพื้นที่ กทม. เพื่อปรับข้อมูลให้เป็นปัจจุบัน และเป็นมาตรฐานในการกำหนดระยะเวลาการควบคุมจังหวะสัญญาณไฟจราจรใน กทม. โดยเสนอให้ใช้พื้นที่สี่แยกทุ่งครุและสามแยกครุในเป็นพื้นที่นำร่องในการเก็บข้อมูลสถิติเพื่อต่อยอดการพัฒนาและแก้ไขปัญหาการจราจรในพื้นที่อื่น ๆ ที่เป็นปัญหาเรื้อรัง และเพื่อยกระดับฐานข้อมูลในการแก้ไขปัญหาจราจรของ กทม. ต่อไป ทั้งนี้ สภาผู้แทนราษฎรได้ส่งเรื่องให้ คค. และ มท. พิจารณาโดยตรงแล้ว,การคมนาคม การจราจรหรืออุบัติเหตุ,กรุงเทพมหานคร,คค.
ขอให้ติดตามและแก้ไขปัญหาการขอใช้ที่ดินในเขตปฏิรูปที่ดินเพื่อสร้างวัดสวนป่าสันติคุณ หมู่ที่ ๑๑ ต.นาโสก อ.เมือง จ.มุกดาหาร โดยเร่งด่วน,ที่ดินทำกิน,มุกดาหาร,มท.
ขอติดตามความคืบหน้าการดำเนินการขออนุญาตก่อสร้างสะพาน คสล. ข้ามลำน้ำแม่ขอด ท้องที่บ้านห้วยทราย ต.แม่ปั๋ง อ.พร้าว จ.เขียงใหม่,โครงสร้างพื้นฐานและสาธารณูปโภค,เชียงใหม่,สปน.
กรณีเรียกร้องให้เร่งรัดการนำเข้าวัคซีนโควิด – 19 mRNA เป็นวัคซีนหลัก,สาธารณสุข,ทุกภูมิภาค,สธ.
ขอให้หน่วยงานที่เกี่ยวข้องพิจารณาแก้ไขปัญหาอาหารกลางวันของศูนย์การศึกษาอิสลามประจำมัสยิด (ตาดีกา) ซึ่งผ่านมา ๒ ปีแล้ว แต่ยังไม่ได้รับการแก้ไขปัญหาดังกล่าว,การศึกษา,ทุกภูมิภาค,ศธ.
"ขอให้หน่วยงานที่เกี่ยวข้องแก้ไขปัญหา กรณีราคาข้าวตกต่ำ โดยมีราคาประมาณตันละ ๖,๐๐๐ – ๗,๐๐๐ บาท และการที่รัฐบาลจะชดเชยไร่ละ ๕๐๐ บาท จำนวน ๒๐ ไร่ เป็นเงิน ๑๐,๐๐๐ บาท เป็นวิธีการที่ไม่ถูกต้องตามหลักการประกันรายได้ โดยเมื่อเกษตรกรได้รับการประกันราคาข้าว ๑๕,๐๐๐ บาท แต่ขายได้ ๖,๐๐๐ – ๗,๐๐๐ บาท ซึ่งรัฐบาลจะต้องนำเงินมาชดเชยส่วนต่างให้ทั้งหมด จึงขอให้ กษ. และสหกรณ์ พณ. ดำเนินการแก้ไขปัญหาเรื่องดังกล่าวเป็นการเร่งด่วน",ราคาสินค้าเกษตร,ทุกภูมิภาค,กษ.
"ขอให้นายกรัฐมนตรีเร่งดำเนินการตั้งคณะกรรมการตรวจสอบการใช้เงินงบประมาณแผ่นดินของกองทุนเพื่อความปลอดภัยในการใช้รถใช้ถนน (กปถ.) กรมการขนส่งทางบก คค. ซึ่งได้จากการประมูลหมายเลขทะเบียนสวยจำนวนเงินประมาณ ๑,๐๐๐ ล้านบาท แต่ได้มีการใช้งบประมาณนี้เป็นจำนวนเงินประมาณ ๑,๖๐๐ - ๑,๗๐๐ ล้านบาท ซึ่งเกินจากงบประมาณที่มีอยู่จริง",ผู้มีอิทธิพล การทุจริตและประพฤติมิชอบ,ทุกภูมิภาค,คค.
ขอให้หน่วยงานที่เกี่ยวข้องพิจารณาดำเนินการหามาตรการกระตุ้นเศรษฐกิจเพื่อช่วยเหลือเยียวยา จ.ตาก จากสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 และประชาสัมพันธ์แง่มุมที่น่าสนใจของ จ.ตาก ให้กับประชาชนทั่วประเทศรับทราบ,เศรษฐกิจ การคลัง,ตาก,ศบศ.
ขอให้รัฐมนตรีหรือหน่วยงานของรัฐแจ้งผลการปฏิบัติงานการแก้ไขปัญหาความเดือดร้อนของประชาชนตามข้อปรึกษาหารือ โดยขอให้แจ้งผลการดำเนินการให้ชัดเจน เพื่อให้สมาชิกสภาผู้แทนราษฎร ที่ได้ปรึกษาหารือนำกลับไปแจ้งประชาชนในพื้นที่ที่อยู่ในข้อปรึกษาหารือได้ทราบต่อไป,การบริหารราชการแผ่นดิน,ทุกภูมิภาค,ทส.
ขอให้หน่วยงานที่เกี่ยวข้องช่วยเหลือและแก้ไขปัญหาของประชาชนในพื้นที่ ต.โนนยาง อ.หนองสูง จ.มุกดาหาร จำนวน ๔ ราย ซึ่งไม่ได้รับความเป็นธรรมจากการเวนคืนที่ดิน เพื่อสร้างทางหลวงแผ่นดิน หมายเลข ๑๒ สายแม่สอด (เขตแดน) - มุกดาหาร ตอน บ้านนาไคร้ - บ้านหนองบง ระหว่าง กม. ๗๐๔ + ๐๐๐.๐๐๐ ถึง กม. ๗๔๐ + ๗๐๘.๒๙๗,ที่ดินทำกิน,มุกดาหาร,คค.
ขอให้รัฐบาลได้พิจารณาจัดสรรงบประมาณเพื่อสนับสนุนการจัดหาเครื่องจักรที่ใช้ในการตัดอ้อยสดให้ทัน ฤดูการตัดอ้อยในเดือน พ.ย. ๒๕๖๓ เนื่องจากคณะกรรมการบริหารกองทุนตาม พ.ร.บ.อ้อยและน้ำตาลทราย พ.ศ. ๒๕๒๗ ได้กำหนดนโยบายลดปริมาณอ้อยไฟไหม้และกำหนดราคาส่วนต่างให้อ้อยสดมากกว่าเพื่อจูงใจให้เกษตรกรตัดอ้อยสดมากขึ้น ทำให้เกษตรกรชาวไร่อ้อยมีความต้องการเครื่องจักรที่ใช้ในการตัดอ้อยสดเพิ่มขึ้น,อุตสาหกรรม,ทุกภูมิภาค,อก.
ขอให้ตรวจสอบและติดตามจับกุม ดำเนินคดีกับผู้กระทำความผิดที่ได้นำเอาน้ำไซรัปมาผสมสีและเติมกลิ่นน้ำผึ้ง เพื่อให้เสมือนเป็นน้ำผึ้งแท้ แล้วนำน้ำดังกล่าวจำหน่ายให้กับประชาชน ซึ่งทำให้ประชาชนได้รับความเสียหาย,อาชญากรรม ยาเสพติดและการพนัน,ทุกภูมิภาค,ตร.
"ขอให้เพิ่มมาตรฐานในการแก้ปัญหาเกี่ยวกับกระบวนการปฏิบัติเพื่อใช้ในการปราบปรามยาเสพติด ในพื้นที่เขตดุสิต ดังนี้ 
๑. จัดหาเครื่องมือสำหรับใช้ในการตรวจจับยาเคตามีน
๒. กรณีกฎหมายกฎหมายกำหนดให้ต้องมีผู้เชี่ยวชาญยืนยันในการตรวจสอบสารเสพติดในร่างกายของผู้ต้องสงสัย หากมีการจับกุมตรงกับช่วงเวลาที่ศุนย์บริการสาธารณสุขปิดทำการจะเป็นอุปสรรคในการดำเนินการของเจ้าหน้าที่",อาชญากรรม ยาเสพติดและการพนัน,กรุงเทพมหานคร,ยธ.
ขอให้แก้ไขปัญหายาเสพติดที่แพร่ระบาดในหลายพื้นที่ของ จ.ขอนแก่น ในช่วงระยะเวลา ๕ - ๖ ปี ที่ผ่านมา โดยยังไม่มีหน่วยงานใดเข้าไปดูแลแก้ไขปัญหา,อาชญากรรม ยาเสพติดและการพนัน,ขอนแก่น,ตร.
"ขอให้พิจารณาดำเนินการช่วยเหลือประชาชนในพื้นที่ทุ่งรับน้ำเจ้าเจ็ด และทุ่งรับน้ำโพธิ์พระยา อ.บางปลาม้า และ อ.สองพี่น้อง จ.สุพรรณบุรี โดยเร่งด่วน ดังนี้ 
๑) ขอให้สถาบันการเงินพักชำระหนี้ทั้งเงินต้นและดอกเบี้ยให้กับเกษตรกรผู้เลี้ยงปลา กุ้ง และไก่ไข่ เป็นระยะเวลา ๒ ปี 
๒) ขอให้ช่วยเหลือเยียวยาเกี่ยวกับที่อยู่อาศัยของประชาชนที่ประสบเหตุอุทกภัย ด้วยการพิจารณาจ่ายแบบเหมาจ่ายให้เพียงพอต่อความเสียหายที่เกิดขึ้น 
๓) ขอให้อนุมัติงบประมาณรายจ่าย งบกลาง เพื่อปรับปรุงซ่อมแซมถนนที่ชำรุดเสียหายในพื้นที่ทุกตำบลของ อ.บางปลาม้า และ อ.สองพี่น้อง จ.สุพรรณบุรี",สาธารณภัย,สุพรรณบุรี,มท.
ขอให้เร่งจัดตั้งวัดนาวง ต.บ้านนา อ.ศรีนครินทร์ จ.พัทลุง ซึ่งขึ้นทะเบียนเป็นวัดร้างและติดปัญหาเรื่องเอกสารสิทธิที่ดินที่วัดตั้งอยู่ ให้เป็นวัดที่ถูกต้องตามกฎหมาย ทั้งนี้ สภาผู้แทนราษฎรได้ส่งเรื่องให้ วธ. พิจารณาโดยตรงแล้ว,ศิลปะ วัฒนธรรม ศาสนา,พัทลุง,พศ.
ขอให้รัฐมนตรีหรือหน่วยงานของรัฐแจ้งผลการปฏิบัติงานการแก้ไขปัญหาความเดือดร้อนของประชาชนตามข้อปรึกษาหารือ โดยขอให้แจ้งผลการดำเนินการให้ชัดเจน เพื่อให้สมาชิกสภาผู้แทนราษฎรที่ได้ปรึกษาหารือนำกลับไปแจ้งประชาชนในพื้นที่ที่อยู่ในข้อปรึกษาหารือได้ทราบต่อไป,การบริหารราชการแผ่นดิน,ทุกภูมิภาค,กก.
ขอให้หน่วยงานที่เกี่ยวข้องเตรียมการรับมือหาทางออกให้กับผู้ประกอบการธุรกิจการท่องเที่ยว เพื่อไม่ให้เกิดการชะงักจากการออกมาตรการต่าง ๆ เช่นการระงับการเปิดรับผู้เดินทางระบบ Test and Go เป็นการชั่วคราว เพื่อป้องกันการแพร่ระบาดของไวรัสโคโรนา สายพันธุ์โอไมครอน (Omicron) เนื่องจากที่ผ่านมาการเปลี่ยนแปลงมาตรการต่าง ๆ ของรัฐบาลมีการเปลี่ยนแปลงโดยกะทันหันโดยไม่แจ้งผู้ประกอบการล่วงหน้า ทำให้ผู้ประกอบการและนักท่องเที่ยวได้รับทราบอย่างกระชั้นชิด,การบริหารราชการแผ่นดิน,ทุกภูมิภาค,ศปก. ศบค.
"ขอให้ นรม. คณะกรรมการตรวจสอบการดำเนินการตามกฎหมายว่าด้วยการอภัยโทษ และ ยธ. พิจารณาตรวจสอบความเรียบร้อยในการพิจารณาการขอพระราชทานอภัยโทษวันที่ ๒๘ กรกฎาคม ๒๕๖๕ ครบ ๗o พรรษา และวันที่ ๑๒ สิงหาคม ๒๕๖๕ และขอให้ มท. พิจารณาให้ผู้ว่าราชการจังหวัดทุกจังหวัดเป็นกรรมการทำหน้าที่ตรวจสอบผู้ซึ่งจะได้รับพระราชทานอภัยโทษ โดยไม่ต้องมอบผู้บัญชาการเรือนจำกลางจังหวัดเป็นกรรมการในตำแหน่งผู้ว่าราชการจังหวัดแห่งท้องที่อีกต่อไป เพื่อให้เกิดความถูกต้องเพราะในฐานะที่ผู้ว่าราชการจังหวัดมีหน้าที่ดูแลทุกข์สุขของประชาชนในพื้นที่ และเป็นการป้องกันปัญหาประชาชนไม่เชื่อในกระบวนการยุติธรรม 
ทั้งนี้ วุฒิสภาได้ส่งเรื่องให้ ยธ. และ มท. พิจารณาโดยตรงแล้ว",กฎหมายและกระบวนการยุติธรรม,ทุกภูมิภาค,มท.
ขอให้ติดตามความคืบหน้าการจ่ายเงินชดเชยนาข้าวที่ได้รับความเสียหายจากภัยแล้ง ในเขตพื้นที่ จ.ชัยภูมิ โดยเร่งด่วน เนื่องจากปัจจุบันเกษตรกรยังไม่ได้รับเงินชดเชยดังกล่าว,น้ำ,ชัยภูมิ,กค.
ขอให้หน่วยงานที่เกี่ยวข้องแก้ไขปัญหานายทุนต่างชาติชาวจีนใช้วีซ่านักท่องเที่ยวมาประกอบอาชีพในประเทศไทย โดยการเปิดจำหน่ายสินค้าหนีภาษี บริเวณตลาดสำเพ็ง กทม. ทำให้ประชาชนในพื้นที่ได้รับความเดือดร้อน,การต่างประเทศ,กรุงเทพมหานคร,กต.
ขอสอบถามหลักเกณฑ์การพิจารณาและขอติดตามการอนุมัติโครงการพัฒนาทรัพยากรน้ำใน ๑๐ อำเภอ จ.นครราชสีมา ที่ยังไม่ได้รับการอนุมัติโครงการ ได้แก่ อ.โชคชัย อ.หนองบุญมาก อ.เมืองนครราชสีมา อ.เฉลิมพระเกียรติ อ.ครบุรี อ.เสิงสาง อ.ด่านขุนทด อ.เทพารักษ์ อ.ลำทะเมนชัย,น้ำ,นครราชสีมา,สทนช.
ขอให้รัฐมนตรีหรือหน่วยงานของรัฐแจ้งผลการปฏิบัติงานการแก้ไขปัญหาความเดือดร้อนของประชาชนตามข้อปรึกษาหารือ โดยขอให้แจ้งผลการดำเนินการให้ชัดเจน เพื่อให้สมาชิกสภาผู้แทนราษฎร ที่ได้ปรึกษาหารือนำกลับไปแจ้งประชาชนในพื้นที่ที่อยู่ในข้อปรึกษาหารือได้ทราบต่อไป,การบริหารราชการแผ่นดิน,ทุกภูมิภาค,พม.
ขอให้ตรวจสอบกรณีการซื้อ - ขาย เหล็กรางรถไฟเก่า ระหว่างการรถไฟแห่งประเทศไทยกับบริษัทแห่งหนึ่ง เนื่องจากมีข้อสังเกตว่า จำนวนเหล็กรางรถไฟ ที่ถูกจำหน่ายออกไปจริงจากยอดที่รายงานไม่สอดคล้องกัน,ผู้มีอิทธิพล การทุจริตและประพฤติมิชอบ,ทุกภูมิภาค,คค.
